baidu 百度
挥舞 挥动
家眷 家属
奖励 嘉奖
枷锁 桎梏
假话 谎话
设想 假想
假装 伪装
装作 假装
牢靠 坚固
艰难 艰巨
艰难 艰苦
刚毅 坚毅
兼顾 统筹
反省 检讨
讲解 讲授
讲究 讲求
下降 降落
下降 下落
降生 出世
狡诈 狡猾
校订 校正
校对 校订
叫嚷 叫唤
揭露 揭穿
揭幕 开幕
收场 结束
节约 节俭
节制 控制
解职 解聘
界线 界限
紧迫 紧急
尽情 纵情
惊慌 惊惶
惊悸 惊慌
惊恐 惊骇
优良 良好
精巧 精致
精湛 精深
深湛 精深
小心 谨慎
仰慕 敬慕
敬仰 敬佩
拘谨 拘束
聚首 聚会
回绝 拒绝
决裂 破裂
抉择 决定
开创 首创
创始 开创
起头 开端
开拓 开辟
考虑 斟酌
考查 考核
可贵 宝贵
空泛 空洞
威吓 恐吓
呜咽 哭泣
啼哭 哭泣
苦楚 痛楚
夸张 夸大
快活 快乐
傲慢 狂妄
窥测 窥伺
窥探 窥测
蚀本 亏本
魁梧 魁伟
阔绰 阔气
肮脏 邋遢
懒惰 懒散
挥霍 浪费
牢骚 怨言
劳碌 忙碌
相似 类似
冷淡 冷漠
沉着 冷静
廉正 廉洁
株连 连累
粮食 食粮
缭绕 围绕
萦绕 缭绕
猜想 料想
小气 吝啬
灵便 灵活
涉猎 浏览
谣言 流言
留心 留意
留神 留心
执行 履行
掠取 掠夺
阐述 论述
后进 落后
野蛮 蛮横
莽撞 鲁莽
美妙 美好
标致 美丽
圆满 美满
路子 门路
亲密 密切
罢免 免职
苗条 修长
描写 描述
消亡 灭亡
声誉 名誉
里手 内行
内情 内幕
强人 能人
伪造 捏造
腼腆 忸怩
怒吼 咆哮
讴歌 赞美
排斥 排挤
盘踞 占据
遗弃 抛弃
批判 批评
成见 偏见
廉价 便宜
圈套 骗局
聘用 聘请
欺负 欺侮
诈骗 欺骗
漆黑 黝黑
启迪 启发
气宇 气度
气概 气势
谦和 谦恭
前途 前程
出路 前途
浅陋 浅薄
强壮 强健
强制 强迫
亲信 心腹
损害 侵害
侵略 侵犯
勤恳 勤奋
勤勉 勤恳
勤俭 节约
肃清 清除
贫寒 清贫
清爽 清新
轻佻 轻浮
甘愿 情愿
形式 情势
情义 情谊
情意 情义
驱赶 驱逐
曲解 歪曲
势力 权势
全体 全部
缺陷 缺点
缺乏 缺少
确定 肯定
让步 妥协
退让 让步
热爱 酷爱
热情 热忱
热心 热情
仁慈 善良
忍耐 忍受
交融 融合
软禁 囚禁
幽禁 软禁
润色 润饰
撒手 放手
分布 散布
散播 散布
散步 漫步
溜达 散步
骚乱 动乱
颜色 色彩
擅长 善于
长于 擅长
磋商 商量
商榷 商议
损害 伤害
设备 装备
申述 申说
申诉 申述
神往 向往
腔调 声调
声援 支援
生僻 冷僻
牲畜 畜生
实施 实行
时代 时期
时兴 时髦
试验 实验
逝世 去世
逝世 死
克复 收复
收买 拉拢
收拾 整理
约束 束缚
随便 随意
毁坏 损坏
指示 唆使
探询 探听
亡命 逃亡
特征 特点
倡导 提倡
提醒 提示
体格 体魄
谅解 体谅
调整 调剂
挺拔 挺立
同窗 同学
赞成 同意
偷盗 偷窃
投奔 投靠
屠戮 屠杀
推戴 拥戴
推进 推动
推敲 斟酌
推让 谦让
推重 推许
推崇 推重
颓丧 颓废
疲塌 拖拉
妥帖 妥当
奚落 挖苦
可惜 惋惜
忘怀 忘记
妄想 妄图
小心 当心
协定 协议
协调 调和
心肠 心地
心坎 心田
信用 信誉
性格 性情
兴致 兴趣
凶狠 凶恶
凶猛 凶悍
雄壮 雄浑
雄健 雄壮
宣传 宣扬
宣告 宣布
压缩 紧缩
钻研 研究
演变 演化
掩饰 掩盖
目光 眼光
要挟 威胁
遗嘱 遗言
应该 应当
理当 应当
英灵 英魂
俊秀 英俊
勇猛 英勇
迎合 逢迎
养分 营养
拥护 拥戴
俗气 庸俗
勇敢 大胆
涌现 出现
用处 用途
用场 用处
优良 优秀
优异 优良
幽美 优美
幽深 幽邃
悠长 悠久
友情 友谊
愚蠢 愚昧
预感 预见
预料 预感
预兆 前兆
圆滑 油滑
世故 圆滑
原谅 谅解
援助 支援
赞扬 赞美
赞颂 赞美
赞赏 赞美
赞成 赞同
增添 增加
占领 占据
招待 接待
款待 招待
照应 照顾
照射 照耀
真理 真谛
沉着 镇静
争辩 辩论
正派 正直
指导 指点
制订 制定
重任 重担
注重 重视
缜密 周密
注目 注视
有名 着名
装饰 装潢
拙劣 低劣
卓越 卓着
着重 侧重
滋长 滋生
踪影 踪迹
踪迹 踪影
走卒 走狗
阻止 阻挠
阻拦 阻止
遵守 遵照
遵循 遵守
作祟 作怪
威信 威望
害怕 畏惧
持重 稳重
误会 误解
习气 习惯
修长 细长
前辈 先辈
相关 相干
惦念 想念
罪有应得 咎由自取
家庭祸变 萧墙之祸
邯郸之梦 黄粱一梦
虎口余生 死里逃生
河东狮吼 畏妻如虎
光说不做 言而不行
红杏出墙 不安于室
忽冷忽热 乍寒乍热
好景不常 昙花一现
更深人静 夜阑人静
耕市不惊 秋毫无犯
自强不息 发奋图强
积厚流光 源远流长
肌理丰盈 珠圆玉润
见色忘友 重色轻友
花花世界 十丈软红
横征暴敛 苛捐杂税
桂林一枝 一枝独秀
光说不练 言而不行
毂击肩摩 车水马龙
剪烛西窗 同窗夜语
蜚短流长 闲言闲语
胆破心惊 心胆俱寒
低声密语 交头接耳
登高一呼 振臂一呼
耳提面命 谆谆教诲
独出机杼 别出心裁
夺得冠军 独占鳌头
干卿底事 与你何关
分毫不爽 一点不错
额手称庆 以手加额
奉行故事 遵守习惯
访古寻幽 探寻胜迹
回天乏术 无法复生
毫无所惧 肆无忌惮
贩夫走卒 引车卖浆
倒履相迎 扫径以待
刀锯不辞 死生无惧
后生可畏 少年老成
害人不浅 贻害不浅
耕人之田 为人作嫁
构词惑众 造谣生事
美轮美奂 竹苞松茂
蛮触之争 蜗角之争
捋臂将拳 摩拳擦掌
偶一为之 逢场作戏
难望项背 瞠乎其后
莲开并蒂 双宿双飞
开门揖盗 引狼入室
犁庭扫穴 直捣黄龙
移樽就教 移船就础
历尽沧桑 饱经风霜
柳眉倒竖 杏眼圆睁
絮絮不休 絮絮叨叨
沐猴而冠 衣冠禽兽
魄散九霄 魂飞天外
钳形进攻 左右夹攻
烂醉如泥 玉山颓倒
一刀两断 薪尽火灭
两姓之好 秦晋之好
抛戈弃甲 抱头鼠窜
油头滑脑 油嘴滑舌
见笑于人 贻笑大方
落拓不羁 不拘小节
开宗明义 开门见山
截趾适履 削足就履
积不相容 势如水火
唇红齿白 朱唇皓齿
应机立断 当机立断
见识浅短 少见多怪
化尽心血 费尽心机
怀璧其罪 象齿焚身
救火投薪 扬汤止沸
空言无补 纸上谈兵
娇羞答答 羞人答答
江中钓月 海底捞针
疾足先得 捷足先登
兰摧玉折 哲人其萎
血流漂杵 血流成河
骊歌高唱 阳关三迭
尽收眼底 一览无余
金樽旨酒 玉液琼浆
金石之盟 山盟海誓
汲深绠短 心余力绌
流芳千古 万古长青
牢骚满腹 怨气冲天
见猎心喜 跃跃欲动
义正词严 理直气壮
口血未干 言犹在耳
凌云壮志 志薄云霄
冷暖自知 心里有数
言行相诡 口是心非
言出法随 执法如山
料事如神 臆则屡中
立竿见影 吹糠见米
斗粟囊金 米珠薪贵
寸男尺女 一男半女
除污去垢 荡瑕涤秽
发上指冠 怒发冲冠
诡辞欺世 妖言惑众
兵多将广 军多将广
姑息养奸 养虎遗患
回头是岸 悬崖勒马
炉火纯青 出神入化
螳臂当车 以卵击石
狗彘不若 猪狗不如
祸不单行 灾患丛生
罗敷有夫 有夫之妇
芒刺在背 如坐针毡
洁身自爱 守身如玉
孑然一身 形单影只
脑满肠肥 大腹便便
斤斤计较 琐屑较量
超群脱俗 逸群绝俗
兵出无名 师出无名
安分守纪 循规蹈矩
乐极生悲 兴尽悲来
片纸只字 一鳞半爪
鸟尽弓藏 兔死狗烹
逆来顺受 唾面自干
论功行赏 照功行赏
鼠肚鸡肠 小肚鸡肠
百思不解 大惑不解
风烛残年 行将就木
八面受敌 四面楚歌
八怪七喇 稀奇古怪
八百壮士 四行孤军
分秒必争 争分夺秒
目迷五色 眼花撩乱
步步为营 稳扎稳打
破涕为笑 转悲为喜
良莠淆杂 龙蛇混杂
良药苦口 忠言逆耳
乐天知命 安分守己
牛鼎烹鸡 大材小用
程门立雪 尊师重道
不偏不倚 中庸之道
常备不懈 枕戈待旦
不敢则声 吞声忍气
达官贵人 王侯将相
巢木居野 穴居野处
不迟不疾 从容不迫
冰天雪地 雪窖冰天
才气纵横 天才横溢
鞭辟入里 入木三分
吹箫吴市 沿门托钵
垂馨千祀 流芳百世
出阁之喜 于归之喜
仇隙在心 中怀怨恨
尺幅千里 掌上河山
趁波逐浪 随波逐流
耳食之言 以讹传讹
弹指之间 转瞬之间
不安于位 不守妇道
春花秋月 月下花前
蟾宫仙子 月里嫦娥
电光石火 稍纵即逝
赤血丹心 忠肝义胆
分文不取 一钱不受
豪侠好义 英雄仗义
随心所欲 为所欲为
鬼头鬼脑 鬼鬼祟祟
翠绕珠围 珠光宝气
锄强扶弱 振弱除暴
爱才若命 求贤若渴
嫁祸于人 以邻为壑
济困扶危 雪中送炭
丰功伟绩 劳苦功高
半吐半吞 欲言又止
獐头鼠目 蛇头鼠眼
继往开来 承前启后
风驰电掣 追风逐电
合浦还珠 失而复得
寡廉鲜耻 恬不知耻
貌合神离 同床异梦
不得善终 天诛地灭
不成体统 有失体统
搬弄是非 挑拨离间
软土深掘 得寸进尺
文房四宝 纸墨笔砚
依人篱下 为人作嫁
天罗地网 网罗密布
上山作贼 落草为寇
死生之契 啮臂之交
徒托空言 托之空言
上行下效 言传身教
忍辱含垢 含垢忍辱
送往迎来 送旧迎新
前途难料 未定之天
难兄难弟 一丘之貉
私刑逼供 屈打成招
恰如私愿 正中下怀
弃旧容新 吐故纳新
全无所闻 一无所知
无所作为 碌碌无为
冒名行骗 招摇撞骗
弄柳拈花 拈花惹草
犬牙相制 犬牙交错
目即成诵 过目成诵
心慌意乱 方寸已乱
望而却步 望而生畏
升堂入室 造诣高深
书不宣意 言不尽意
一往无前 勇往直前
心如刀割 痛澈心脾
南征北战 出生入死
清风明月 月白风清
束身待罪 引颈就戮
文过饰非 掩罪藏恶
所嫁非人 遇人不淑
同宗同气 同出一脉
受人以柄 倒持泰阿
忍尤含诟 含垢忍辱
穷力尽心 仁至义尽
室迩人遐 人去楼空
片言立决 一语而解
矢口不移 一口咬定
消声匿迹 偃旗息鼓
善自为谋 自作打算
色授魂与 心醉情移
神工鬼斧 天造地设
双管齐下 左右开弓
前因后果 来龙去脉
伤弓之鸟 惊弓之鸟
三令五申 再三告诫
贴心贴腹 推心置腹
泼油救火 火上加油
攀辕卧辙 遮道挽留
腾云跨风 腾云驾雾
歪歪扭扭 歪七扭八
投鼠忌器 有所顾忌
息事宁人 相安无事
瓦釜雷鸣 小人得志
喜逐颜开 笑逐颜开
匹夫之勇 血气之勇
心灰意冷 意气消沉
收视反听 专心致志
倾尽国库 悉索敝赋
心花怒放 兴高采烈
世道沦亡 人心不古
沐雨栉风 吸风饮露
药石之言 针砭之语
披麻带孝 拖麻拽布
世易时移 事过境迁
不成材 不长进
女强人 铁娘子
救火员 消防员
飘飘然 由由然
论说文 议论文
挥挥手 招招手
阶下囚 囚徒
老花子 叫花子
女儿态 脂粉气
藏书楼 图书馆
陈列所 展览场
空口说 空谈
稻粱谋 衣食计
农家子 田舍郎
釜中鱼 俎上肉
生力军 新力量
体育场 运动场
黑沉沉 阴森森
第一版 初版
博览会 展览会
钱树子 摇钱树
慈善家 善士
湿淋淋 湿漉漉
刺目 刺眼
改行 转业
圣旨 诏书
潜逃 叛逃
浮泛 空洞
简要 扼要
恬澹 淡泊
介入 参与
哈腰 弯腰
村夫 乡人
当真 认真
服帖 帖服
倒置 颠倒
底本 蓝本
刚烈 刚强
穿戴 穿着
盛装 艳服
征聘 征请
至宝 珍宝
戎行 军队
仙人 神仙
疾走 狂奔
高见 卓识
彻骨 透骨
公愤 众怒
奼女 少女
超额 逾额
爽朗 开朗
病院 医院
别号 别名
清淡 平淡
灰暗 昏暗
饕戾 凶婪
假话 谎言
蹇滞 困阻
接风 拂尘
功臣 元勋
戎狄 蛮夷
交恶 反目
识相 知趣
世人 众人
吹打 奏乐
唐突 冒昧
白叟 老人
泊车 停车
泊岸 靠岸
如斯 如此
施医 赠医
报命 应命
揣想 悬想
哔叽 羽缎
初春 早春
束装 整装
抽烟 吸烟
清癯 清瘦
稀薄 淡薄
不偶 数奇
片段 片断
禀承 遵奉
暴风 狂风
书厨 书柜
日夜 昼夜
迟早 早晚
赐赉 赐予
嘶哑 沙哑
松散 疏松
掏出 取出
茕居 独居
依从 允从
别传 外传
随俗 顺俗
陷溺 沉迷
沉浸 沉醉
寒微 微贱
称疾 托病
畅谈 泛论
施主 檀越
鼎盛 壮盛
长日 永日
包抄 包围
笔迹 字迹
牲畜 牲口
饱食 餍饫
恰谈 洽商
仕进 做官
等闲 轻易
熟年 丰年
半途 中途
筹措 张罗
驰誉 驰名
庇荫 荫庇
破灭 幻灭
叹恨 怨嗟
投契 投机
田单 田契
丽人 美人
腼腆 忸怩
年迈 年老
乱世 浊世
成全 玉成
特意 特地
响马 盗贼
起点 出发点
同僚 同寅
凝滞 呆滞
小童 幼童
守法 遵法
边缘 边沿
便服 燕服
按摩 推拿
案牍 文案
暗影 阴影
后辈 子弟
梗阻 阻塞
明示 昭示
募集 召募
特效 殊效
暗射 影射
土风 乡俗
难听 刺耳
芬芳 芳香
苟安 偷安
膏腴 腴膏
合力 协力
厚酬 重酬
妄言 妄语
遨游 翱翔
弄璋 梦熊
推寻 推求
复习 温习
田猎 野猎
冰凉 冰冷
不凡 非凡
娘家 外家
外埠 外地
旁门 歪路
偏袒 左袒
把柄 痛处
暗里 私下
通风 透风
接踵 相继
皆宜 咸宜
笼盖 覆盖
幽谷 深谷
弘远 远大
擅权 专权
仰给 仰食
荆布 糟糠
渴想 渴望
略坐 小坐
梨园 戏班
枢纽 关键
抓住 捉住
厚味 美味
耸然 屹然
晖映 照耀
通信 通讯
或曰 或谓
纪行 游记
挽劝 劝说
叫化 求乞
疏浚 疏通
烈焰 炎火
搅浑 混淆
间断 中断
投亲 探亲
滚动 转动
收尾 扫尾
饥馑 饥荒
今日 本日
良久 很久
南风 熏风
招安 招抚
正人 君子
塌台 垮台
凉气 冷气
髫龄 龆年
珍异 珍奇
白皙 白净
抒情 抒怀
送达 投递
年青 年轻
乞降 求和
外援 外助
凹地 洼地
挨饿 受饿
暮景 晚景
删省 删节
浓艳 冶艳
启齿 开口
顺路 顺道
按捺 抑制
联盟 同盟
搪突 冒犯
保守 守旧
无邪 天真
笔直 笔挺
晨风 晓风
出事 失事
法度 法式
当即 立即
调拨 挑唆
服毒 仰药
勾勒 勾画
翻腾 翻滚
毒杀 鸩杀
独身 单身
顿挫 抑扬
浊流 污流
戍卫 卫护
傍门 歪路
积压 积存
谨严 谨慎
一一 逐一
利落 爽利
次日 第二天
缔姻 联婚
深挚 深厚
粗拙 粗糙
篱笆 竹篱
恰是 正是
揄扬 吹嘘
蕴蓄 积聚
曲解 误解
郁悒 愁闷
精髓 精华
寄身 托身
矜持 自持
路过 途经
遴派 选派
流放 放逐
兵工 军工
激辩 舌战
因为 由于
拒守 把守
缴获 缉获
浸礼 洗礼
溘然 忽然
乐岁 丰年
困倦 困乏
良俦 良伴
老拙 老朽
轿子 肩舆
起码 最少
葬送 断送
嫖妓 冶游
老是 总是
修好 修睦
惧罪 畏罪
悦耳 动听
脸红 酡颜
连络 连系
极目 纵目
几回 几次
进级 升级
救兵 援军
精晓 精通
门徒 徒弟
马脚 破绽
剿袭 袭取
黑货 私货
预赛 初赛
酒徒 醉翁
壅塞 阻塞
尖利 尖锐
中听 入耳
机能 性能
家传 祖传
呼啸 咆哮
隐忍 哑忍
辑穆 和睦
划子 小船
最终 终究
抽剥 剥削
机杼 心裁
难题 困难
奖惩 赏罚
辑睦 和睦
紧紧 牢牢
欢忻 忻忭
荏弱 柔弱
巨匠 大师
器具 用具
钱庄 银号
谨防 严防
孑遗 余存
计策 计谋
桀黠 狡猾
蒲月 五月
假称 托辞
湔雪 洗雪
旧病 宿病
假货 赝品
话旧 叙旧
浑朴 浑厚
嫁祸 移祸
目眩 眼花
克意 锐意
话筒 麦克风
蜡烛 烛炬
盘考 盘问
冷视 漠视
类别 种别
亲自 亲身
亢旱 久旱
良多 很多
浓烈 浓郁
礼拜 星期
溺职 渎职
无限 无穷
食物 食品
弄法 玩法
旷废 荒废
匡助 帮助
夸姣 美好
落款 题名
盘剥 剥削
密意 深情
迫临 逼近
批颊 掌掴
裂痕 裂缝
努目 瞪眼
念头 动机
凶兆 恶兆
麻布 夏布
雪耻 雪恨
攫取 掠夺
面前 眼前
昆裔 后代
款接 延接
康年 丰年
炼坊 冶坊
领巾 围巾
清点 盘点
綦严 严紧
癖好 嗜好
骗财 诈财
预付 预支
飘动 飞舞
酒杯 羽觞
披露 表露
旷地 空地
老景 晚景
羞怯 羞涩
酷刑 严刑
冷巷 小巷
逻骑 侦骑
另娶 再娶
涓滴 丝毫
慨诺 允承
排闼 推门
祸首 罪魁
优胜 优越
兼并 吞并
元凶 首恶
犒赏 赏赐
盲眼 瞎眼
旧事 往事
进谒 投刺
抉剔 挑剔
借鉴 鉴戒
卵翼 庇护
礼聘 聘请
立异 创新
胪陈 详述
滥调 谰言
纳贿 受贿
目生 陌生
肉痛 心痛
旭日 朝阳
前贤 先哲
书画 字画
伶丁 孤苦
涕零 涕泣
锦绣 美丽
肉瘤 赘瘤
可托 可信
目炫 眼花
老儒 夙儒
津贴 补助
津润 滋润
严惩 重办
力量 气力
谦谢 逊谢
斗室 小房
前驱 先驱
典质 抵押
少憩 暂休
吊挂 悬挂
恶相 凶相
道别 作别
碉堡 堡垒
犯错 出错
顶用 中用
仍是 还是
儿歌 童谣
蕃芜 茂盛
下昼 下午
负疚 抱歉
恶棍 无赖
法场 刑场
泛博 广大
菲敬 菲仪
蠹虫 蛀虫
刚好 恰好
鼎力 大力
毒酒 鸩酒
锻造 铸造
细目 详目
据守 扼守
栖身 居住
喝酒 饮酒
贵爵 王侯
佛门 空门
服饰 衣饰
鼎峙 鼎立
受惠 沾恩
房契 宅券
风闻 传闻
膏壤 沃土
放火 纵火
洞居 穴居
飞跃 奔腾
闲逸 散逸
丁壮 壮年
山洞 岩穴
测量 丈量
乌黑 黝黑
私交 私情
答谢 报答
苍莽 苍茫
长生 永生
饶富 富足
冲刷 冲洗
参谋 顾问
乘机 伺机
持禄 尸位素餐
成仙 羽化
丛集 猬集
独一 唯一
地舆 地理
斗丽 争艳
下世 来世
纯挚 纯真
飞驰 飞奔
到手 得手
打动 感动
发窘 发慌
烦厌 腻烦
催讨 追讨
切当 确切
呈文 报告
晨安 早安
但愿 希望
顶嘴 顶撞
订亲 订婚
山人 隐士
多灾 多难
哗笑 喧笑
合用 适用
豪侈 奢侈
舌人 译员
闪开 让开
红霞 彤霞
虎睨 鹰视
花匠 园丁
回身 转身
嫁奁 嫁妆
忤逆 违逆
交壤 交界
咭片 名片
期近 在即
龋齿 蛀牙
姑苏 苏州
糊口 生活
莫非 难道
翦灭 扫除
街市 市井
呵护 庇护
好笑 可笑
眸子 眼珠
辉映 照映
甲由 蟑螂
烧饭 煮饭
豪举 壮举
呼叫 呼唤
花腔 花样
怀怨 抱恨
华山 西岳
命脉 命根子
会萃 聚集
爬泳 自由式泳法
缺漏 罅漏
房主 房东
横目 怒目
暮秋 深秋
耳目 线人
发源 起源
专制 独裁
自夸 自诩
风貌 风采
肥饶 肥沃
茂发 向荣
贮备 储备
轻风 微风
酣畅 畅快
摄生 养生
餬口 谋生
轨制 制度
冗赋 杂税
甘旨 美味
犯禁 违禁
专横 跋扈
豆芽 芽菜
讹传 谣传
功课 作业
跟着 随着
够数 足数
鹄候 伫候
逛逛 走走
斗胆 大胆
卓见 卓识
恶疾 顽疾
绳尺 准绳
互市 通商
拂拭 扫除
赅博 渊博
更甚 愈甚
顾恤 怜惜
涵养 修养
惹人 引人
火炬 火把
商定 约定
施展 发挥
共识 共鸣
讳饰 遮掩
贵姓 尊姓
润饰 修饰
毫不 绝不
狐臭 腋臭
巧合 偶合
贵体 玉体
规画 筹划
鹄立 伫立
呼叱 叱责
何为 作甚
转晴 放晴
干犯 冒犯
扶病 抱病
因而 因此
最让 最使
之中 当中
长此以往 久而久之
长期 长时间
导致 致使
一、 1、
二、 2、
三、 3、
四、 4、
五、 5、
六、 6、
七、 7、
八、 8、
九、 9、
十、 10、
十一、 11、
十二、 12、
1、 ⑴
2、 ⑵
3、 ⑶
4、 ⑷
5、 ⑸
6、 ⑹
7、 ⑺
8、 ⑻
9、 ⑼
10、 ⑽
11、 ⑾
12、 ⑿
及早 尽早
至少 最少
不必 没必要
引起 引发
势必 必将
每月 每个月
很可能 极可能
时常 经常
爱美 爱漂亮
短期 短时间
或者 或
伴有 伴随
往往 常常
不少 很多
无法 没法
洗手间 卫生间
尤其 特别
加之 加上
一位 一名
由此可见 因而可知
此外 另外
俗话说 俗语说
此间 其间
安家立业 成家立业
标新立异 独树一帜
翻天覆地 天翻地覆
攻无不克 战无不胜
患难与共 同甘共苦
竭尽全力 全力以赴
尽人皆知 众所周知
惊天动地 震天动地
情投意合 心心相印
所向披靡 所向无敌
天衣无缝 完美无缺
痛改前非 改过自新
胸有成竹 成竹在胸
一举两得 一箭双雕
左顾右盼 瞻前顾后
自力更生 自食其力
转危为安 化险为夷
自食其果 自作自受
十恶不赦 罪大恶极
座无虚席 济济一堂
云雾迷蒙 云雾弥漫
满目琳琅 琳琅满目
成家立业 安家立业
言听计从 百依百顺
独树一帜 标新立异
惊心动魄 触目惊心
智勇双全 大智大勇
龙潭虎穴 刀山火海
以怨报德 恩将仇报
勾心斗角 尔虞我诈
俯首听命 俯首帖耳
树碑立传 歌功颂德
水到渠成 瓜熟蒂落
胡言乱语 胡说八道
锲而不舍 坚持不懈
众所周知 尽人皆知
笑里藏刀 口蜜腹剑
语重心长 苦口婆心
索然无味 枯燥无味
鱼目混珠 滥竽充数
屈指可数 寥寥可数
污七八糟 乱七八糟
晕头转向 蒙头转向
名副其实 名不虚传
稀里糊涂 莫名其妙
难分难舍 难解难分
历历在目 记忆犹心
咬牙切齿 怒目切齿
排忧解难 排难解纷
乘风破浪 披荆斩棘
无缘无故 平白无故
一步登天 平步青云
燃眉之急 迫在眉睫
遮天蔽日 铺天盖地
想方设法 千方百计
山穷水尽 穷途末路
无事生非 惹事生非
生意盎然 生机勃勃
数一数二 首屈一指
载歌载舞 手舞足蹈
因势利导 顺手推舟
危言耸听 耸人听闻
所向无敌 所向披靡
夜以继日 通宵达旦
色厉内荏 外强中干
望眼欲穿 望穿秋水
微乎其微 微不足道
作奸犯科 违法乱纪
有备无患 未雨绸缪
文风不动 纹丝不动
白璧微瑕 瑕不掩瑜
笑逐言开 喜形于色
言外之意 弦外之音
异想天开 想入非非
养精蓄锐 休养生息
成竹在胸 胸有成竹
沾沾自喜 洋洋得意
摇头晃脑 摇头摆尾
一箭双雕 一举两得
一无所取 一无是处
赞叹不已 赞不绝口
瞻前顾后 左顾右盼
济济一堂 座无虚席
足智多谋 神机妙算
万籁俱寂 鸦雀无声
奇峰林立 奇峰罗列
享有盛名 颇负盛名
义愤填膺 满腔怒火
挖空心思 绞尽脑汁
琳琅满目 满目琳琅
坚如磐石 固若金汤
横行无忌 横行霸道
早餐 早饭
一日三餐 每日三餐
就可以 就能够
以免 以避免
一般人 常人
早饭 早餐
晚饭 晚餐
午饭 午餐
公斤 千克
公里 千米
哪种 哪一种
哪个 哪一个
千克 公斤
哪一个 哪个
下列 以下
也可以 也能够
之处 的地方
演艺界 演艺圈
娱乐界 娱乐圈
尽管 虽然
更易 更容易
患病 得病
除了 除
自身 本身
也成 同样成
高发 多发
过程中 过程当中
不畅 不顺畅
甚至 乃至
发病 病发
之外 以外
不仅仅 不单单
不仅 不但
可使 可以使
可让 可以让
原有的 原本的
数日 很多天
过长 太长
过久 太久
过高 太高
过矮 太矮
过短 太短
过小 太小
过轻 太轻
过重 太重
过低 太低
何时 什么时候
减退 消退
不易 不容易
常用 经常使用
一般为 通常是
一般是 通常为
总体 整体
共赢 双赢
共享 同享
每年 每一年
秉承 秉持
或许 也许
晓得 知道
冬天 冬季
秋天 秋季
春天 春季
冬日 冬季
使人 令人
令人 使人
尚无 还没有
尚未 还没有
显然 明显
探寻 探访
蔚蓝 湛蓝
水天相接 水天一线
平添 平增
轮流 轮番
偏偏 恰恰
哀伤 忧伤
巴不得 恨不得
巡逻 巡查
坦然 安然
迥异 悬殊
怪异 奇异
受到 遭到
鱼死网破 你死我活
前所未有 史无前例
奇幻 奇异
龙飞凤舞 挥洒自如
结结巴巴 吞吞吐吐
巴望 盼望
骤然 突然
恍如 仿佛
陷阱 圈套
即使 即便
挥汗如雨 汗流浃背
幸好 幸亏
丰姿 风姿
积少成多 聚沙成塔
招集 召集
觅食 寻食
红艳艳 红彤彤
沾花惹草 招蜂引蝶
用意 意图
壮士 勇士
枯败 枯萎
受益匪浅 收获颇丰
停泊 停靠
赶紧 赶快
刨根问底 寻根究底
忧虑 忧愁
残花败柳 枯枝败叶
终日 整天
秉性 天性
无边无际 一望无际
宛若 仿佛
废寝忘食 夜以继日
伸展 舒展
不容置疑 无可置疑
皎洁 洁白
搭理 理睬
纤弱 柔弱
吃力 费劲
清苦 清贫
困境 窘境
坚信 深信
宏伟 雄伟
葱绿 翠绿
密密麻麻 密密层层
逆悖 悖逆
千钧一发 危在旦夕
催促 敦促
凭借 凭仗
感召 感化
逐渐 逐步
照常 照旧
不禁 不由
空旷 空阔
赞叹 赞叹
形形色色 五花八门
如实 照实
周而复始 循环往复
深造 进修
踊跃 积极
象征 意味
行踪 行迹
融洽 和谐
寂寞 孤单
纳闷 疑惑
欢呼 喝彩
敬畏 畏敬
慢悠悠 慢吞吞
无比 非常
洋溢 弥漫
金戈铁马 雄姿英才
噩耗 凶讯
搜寻 搜索
晦暗 昏暗
浸没 淹没
爱怜 怜爱
居然 竟然
重叠 堆叠
擎天撼地 震天撼地
永远 永久
不毛之地 穷山恶水
据说 听说
堪称 可谓
使劲 用力
铁青 乌青
隐秘 隐蔽
摇曳 摇摆
别致 新颖
奇花异草 奇树异草
百年不遇 千载难逢
举步维艰 寸步难行
传扬 宣扬
口多食寡 僧多粥少
银白 雪白
萌生 萌发
坐以待毙 束手待毙
作恶多端 无恶不作
罪该万死 罪不容诛
祖先 先人
奏效 见效
自言自语 喃喃自语
自相鱼肉 同室操戈
自相残杀 同室操戈
自如 自若
自欺欺人 掩耳盗铃
捉弄 玩弄
追忆 追思
追赶 追逐
装聋作哑 装疯卖傻
转瞬 转眼
专断 独断
祝福 祝愿
贮存 储存
贮藏 储藏
逐个 逐一
逐步 逐渐
终局 结局
中选 当选
治疗 医治
至多 最多
趾高气扬 得意忘形
知人善任 任人唯贤
正气凛然 大义凛然
正告 警告
拯救 解救
振振有词 理直气壮
阵线 战线
照管 看管
招认 供认
战火 烽火
扎眼 刺眼
憎恶 憎恨
怎么 怎样
责难 非难
责骂 叱骂
咱们 我们
蕴含 包含
云消雾散 烟消云散
怨尤 怨恨
援用 援引
原址 旧址
原因 缘由
原野 田野
冤家路窄 狭路相逢
预想 料想
郁郁寡欢 闷闷不乐
郁郁不乐 闷闷不乐
有意 成心
有头有尾 自始自终
有机可乘 有隙可乘
有板有眼 有声有色
游览 旅游
幽暗 阴暗
永恒 永久
拥塞 堵塞
映射 映照
营建 修建
英姿飒爽 意气风发
